               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11305,            0.040346,                   0,             0.16041,             0.10654,            0.038035,            0.011157,            0.093121,            0.035915,                   0,             0.07075,             0.00325,             0.00325
                   1,            0.085779,            0.033604,                   0,             0.16588,             0.28037,            0.099918,             0.02483,            0.080746,            0.025241,                   0,            0.040685,           0.0065182,           0.0065182
                   2,            0.076984,            0.028621,                   0,             0.33182,             0.45607,             0.30234,            0.081291,            0.081186,            0.022831,                   0,            0.010554,           0.0097203,           0.0097203
                   3,            0.070183,            0.026647,                   0,             0.25287,              0.5514,             0.26361,            0.092151,            0.062547,            0.025017,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.060045,            0.025243,                   0,             0.54916,             0.52897,              0.5256,             0.21062,            0.056473,            0.023328,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.054978,            0.023761,                   0,              0.5068,             0.60187,             0.51617,             0.23191,            0.053876,            0.020454,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.051499,            0.022414,                   0,             0.60092,             0.58692,             0.59935,             0.26925,            0.048152,            0.020586,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.047816,            0.020732,                   0,             0.68482,             0.74321,             0.72814,             0.32849,            0.043105,            0.019235,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.046043,             0.02103,                   0,             0.80672,             0.74766,             0.79203,             0.35441,            0.043572,            0.018815,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.042839,            0.019317,                   0,             0.72687,             0.71629,             0.73081,             0.33394,             0.04136,            0.018721,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.042318,            0.018333,                   0,             0.81325,             0.79813,             0.82183,             0.37842,            0.038172,            0.018498,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.04104,            0.017284,                   0,             0.83949,             0.79252,             0.82777,             0.39135,            0.039742,            0.018036,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.040187,            0.017166,                   0,             0.87758,             0.81495,             0.85607,              0.4337,            0.034293,            0.017548,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.039317,            0.019566,                   0,              0.8819,             0.80959,               0.853,             0.42997,            0.034411,            0.017533,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.038496,            0.018089,                   0,             0.89817,              0.8243,              0.8652,             0.43957,            0.032778,            0.017616,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.038417,            0.018653,                   0,             0.89176,             0.82804,             0.86713,             0.42862,            0.033784,            0.017904,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.036802,            0.017721,                   0,             0.87295,             0.77757,             0.83965,              0.4216,            0.035567,            0.017679,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.036389,            0.017192,                   0,             0.88717,             0.82243,             0.85951,             0.42712,            0.036097,            0.017332,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.035302,            0.016302,                   0,             0.89281,             0.83738,             0.87198,             0.44653,            0.031929,            0.017078,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.034124,            0.016397,                   0,             0.86027,             0.82859,             0.84746,             0.40277,            0.032213,            0.017037,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.034566,            0.016509,                   0,             0.85088,             0.81057,             0.81905,             0.40702,             0.02962,             0.01692,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.034355,            0.016631,                   0,             0.86894,             0.81869,             0.84005,             0.42312,            0.029887,            0.017057,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.034956,            0.016819,                   0,             0.88879,             0.85145,             0.87071,             0.44347,            0.030398,            0.016689,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.033123,            0.016585,                   0,              0.8773,             0.80561,             0.84604,             0.43103,            0.031041,             0.01699,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.033192,             0.01627,                   0,             0.86992,             0.83738,              0.8701,             0.45801,            0.027272,            0.016567,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.032028,            0.015308,                   0,             0.88415,             0.84299,             0.88184,             0.45285,            0.030203,             0.01669,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.030912,            0.014819,                   0,             0.88212,             0.83927,             0.87178,             0.46179,            0.028043,            0.016537,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.03243,            0.017115,                   0,               0.885,             0.83738,             0.87189,             0.44724,            0.031643,             0.01659,                   0,            0.007426,            0.007426,            0.007426
                  28,              0.0315,            0.015484,                   0,             0.89384,              0.8486,             0.87593,             0.46706,              0.0274,            0.016535,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.030699,            0.015472,                   0,              0.8873,             0.84112,             0.86179,             0.46007,            0.026704,            0.016391,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.02996,            0.015481,                   0,             0.88601,             0.82815,             0.85929,             0.45762,            0.026609,            0.016341,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.031167,            0.015764,                   0,              0.8709,             0.83738,              0.8619,             0.45369,            0.028799,            0.016489,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.029798,            0.015278,                   0,             0.88354,             0.83364,             0.86247,             0.46299,              0.0288,            0.016378,                   0,            0.006931,            0.006931,            0.006931
